FCID	Date	Machine	Read Type	Path
H9622ADXX	03-31-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-31-2014_HiSeq_ChIP_flowcellA_H9622ADXX_PE_Rapid.txt
HKFWKBBXX	09-13-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-13-2017_HiSeq_DIP_flowcellA_HKFWKBBXX_SR.txt
H5WHNBCXX	11-30-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-30-2016_HiSeq_ChIP_flowcellB_H5WHNBCXX_PE_Rapid.txt
431JTAAXX	11-19-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/11-19-2009_Peter_flowcell_431JTAAXX_SR.txt
C288LACXX	08-14-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-14-2013_HiSeq_Fish_flowcellA_C288LACXX_SR.txt
62F8AAAXX	10-24-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/10-24-2010_Sarah_flowcell_62F8AAAXX_SR.txt
C6NE3ACXX	03-09-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-09-2015_HiSeq_Fish_flowcellA_C6NE3ACXX_SR.txt
3WPBAAXX	03-13-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/03-13-2009_Sarah_flowcell_3WPBAAXX_SR.txt
HGFVVAFX2	09-15-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/09-15-2020_NextSeq550_flowcell_HGFVVAF_PE_MidOutput.txt
HNJNHBCXX	08-15-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-15-2017_HiSeq_ChIP_flowcellB_HNJNHBCXX_PE_Rapid.txt
D19PGACXX	11-15-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-15-2012_HiSeq_Chip_flowcellA_D19PGACXX_SR.txt
C6N47ACXX	05-04-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-04-2015_HiSeq_Fish_flowcellB_C6N47ACXX_SR.txt
HFT7TADXX	01-22-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-22-2015_HiSeq_ChIP_flowcellA_HFT7TADXX_SR_Rapid.txt
HF3NNBCXX	10-07-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-07-2015_HiSeq_ChIP_flowcellB_HF3NNBCXX_SR_Rapid.txt
432JGAAXX	12-04-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-04-2009_Sarah_flowcell_432JGAAXX_SR.txt
H8KCPADXX	04-04-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-04-2014_HiSeq_ChIP_flowcellB_H8KCPADXX_SR_Rapid.txt
61GG7AAXX	04-16-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/04-16-2010_Sarah_flowcell_61GG7AAXX_SR.txt
HN52LAFX2	03-18-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/03-18-2020_NextSeq550_flowcell_HN52LAFX2_PE_MidOutput.txt
C6TT7ACXX	07-01-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-01-2015_HiSeq_Fish_flowcellB_C6TT7ACXX_SR.txt
HCTNHADXX	09-09-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-09-2015_HiSeq_ChIP_flowcellA_HCTNHADXX_SR_Rapid.txt
HVHTTBCXX	09-06-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-06-2017_HiSeq_ChIP_flowcellB_HVHTTBCXX_PE_Rapid.txt
HJG3VBCXX	06-26-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-26-2018_HiSeq_ChIP_flowcellA_HJG3VBCXX_PE_Rapid.txt
H88A2ADXX	01-08-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-08-2014_HiSeq_ChIP_flowcellB_H88A2ADXX_PE_Rapid.txt
C0VYFACXX	06-13-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-13-2012_HiSeq_ChIP_flowcellB_C0VYFACXX_PE.txt
H9KVHADXX	09-09-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-09-2014_HiSeq_ChIP_flowcellB_H9KVHADXX_SR_Rapid.txt
HHKKVBCXX	05-03-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-03-2018_HiSeq_ChIP_flowcellB_HHKKVBCXX_PE_Rapid.txt
H72JTBCXX	12-18-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-18-2015_HiSeq_ChIP_flowcellA_H72JTBCXX_PE_Rapid.txt
HY5L2BCXY	09-11-2019	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-11-2019_HiSeq_ChIP_flowcellA_HY5L2BCXY_SR_Rapid.txt
H0BGKACXX	06-04-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-04-2013_HiSeq_ChIP_flowcellA_H0BGKACXX_PE_Rapid.txt
431UYAAXX	11-23-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/11-23-2009_Sarah_flowcell_431UYAAXX_SR.txt
630EGAAXX	12-22-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-22-2010_Sarah_flowcell_630EGAAXX_SR.txt
HKWJFADXX	05-20-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-20-2015_HiSeq_ChIP_flowcellB_HKWJFADXX_PE_Rapid.txt
C07AUACXX	10-04-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-04-2012_HiSeq_Fish_flowcellB_C07AUACXX_PE.txt
HF5FNBBXX	06-14-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-14-2016_HiSeq_DIP_flowcellA_HF5FNBBXX_PE.txt
AAAKTLKM5	06-15-2020	NextSeq2000	PE	/mnt/tscc/bil022/RenSix/txt/06-15-2020_NextSeq2000_flowcell_AAAKTLKM5_PE_P2.txt
HJHWYADXX	05-06-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-06-2015_HiSeq_ChIP_flowcellA_HJHWYADXX_SR_Rapid.txt
H53WCBCX2	02-22-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-22-2018_HiSeq_ChIP_flowcellB_H53WCBCX2_PE_Rapid.txt
HJG2HBCXX	06-19-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-19-2018_HiSeq_ChIP_flowcellA_HJG2HBCXX_PE_Rapid.txt
HFNWCADXX	02-11-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-11-2015_HiSeq_ChIP_flowcellB_HFNWCADXX_SR_Rapid.txt
61EG6AAXX	01-22-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-22-2010_Sarah_flowcell_61EG6AAXX_SR.txt
H7KBCADXX	10-07-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-07-2013_HiSeq_ChIP_flowcellB_H7KBCADXX_SR_Rapid.txt
H27VLBCXX	01-12-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-12-2018_HiSeq_ChIP_flowcellB_H27VLBCXX_PE_Rapid.txt
311BEAAXX	03-23-2009	N/A	PE	/mnt/tscc/bil022/RenSix/txt/03-23-2009_peter_flowcell_311BEAAXX_PE.txt
HM532AFX2	01-20-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/01-20-2020_NextSeq550_flowcell_HM532AFX2_PE_MidOutput.txt
H5VJHBBXX	02-18-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-18-2016_HiSeq_Dip_flowcellA_H5VJHBBXX_SR.txt
HYTNFBCXX	09-27-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-27-2016_HiSeq_ChIP_flowcellA_HYTNFBCXX_PE_Rapid.txt
42LPJAAXX	08-17-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/08-17-2009_Peter_flowcell_42LPJAAXX_SR.txt
CORGFACXX	05-22-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-22-2012_HiSeq_Fish_flowcellA_CORGFACXX_SR.txt
C4ALJACXX	08-28-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-28-2014_HiSeq_Fish_flowcellA_C4ALJACXX_PE.txt
H7AMNADXX	10-09-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-09-2013_HiSeq_ChIP_flowcellA_H7AMNADXX_PE_Rapid.txt
DOBYBABXX	07-22-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-22-2011_HiSeq_flowcellA_DOBYBABXX_PE.txt
HJCY3AFX2	11-12-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/11-12-2020_NextSeq550_flowcell_HJCY3AFX2_PE_MidOutput.txt
4366YAAXX	12-23-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-23-2009_Sarah_flowcell_4366YAAXX_SR.txt
HF3H7BCXX	10-07-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-07-2015_HiSeq_ChIP_flowcellA_HF3H7BCXX_SR_Rapid.txt
HMWKCADXX	05-29-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-29-2015_HiSeq_ChIP_flowcellB_HMWKCADXX_PE_Rapid.txt
H8KCCADXX	03-11-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-11-2014_HiSeq_ChIP_flowcellB_H8KCCADXX_SR_Rapid.txt
HGCTCBCXX	04-12-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-12-2017_HiSeq_ChIP_flowcellA_HGCTCBCXX_PE_Rapid.txt
H9L8YADXX	08-25-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-25-2014_HiSeq_ChIP_flowcellB_H9L8YADXX_SR_Rapid1.txt
H7VYCBCXX	03-08-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-08-2018_HiSeq_ChIP_flowcellA_H7VYCBCXX_PE_Rapid.txt
H52L5BCXY	02-02-2018	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-02-2018_HiSeq_ChIP_flowcellA_H52L5BCXY_SR_Rapid.txt
H8DFGADXX	02-19-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-19-2014_HiSeq_ChIP_flowcellB_H8DFGADXX_SR_Rapid.txt
435UTAAXX	12-15-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-15-2009_Peter_flowcell_435UTAAXX_SR.txt
H8DG8ADXX	01-31-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-31-2014_HiSeq_ChIP_flowcellA_H8DG8ADXX_SR_Rapid.txt
HAM2RADXX	11-19-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-19-2014_HiSeq_ChIP_flowcellA_HAM2RADXX_SR_Rapid.txt
H99VNADXX	04-08-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-08-2014_HiSeq_ChIP_flowcellA_H99VNADXX_PE_Rapid.txt
HLCNMBCXX	06-05-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-05-2017_HiSeq_ChIP_flowcellA_HLCNMBCXX_PE_Rapid.txt
H9NJFADXX	06-06-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-06-2014_HiSeq_ChIP_flowcellB_H9NJFADXX_PE_Rapid.txt
C14A6ACXX	10-24-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-24-2012_HiSeq_Fish_flowcellA_C14A6ACXX_SR.txt
HHCNFADXX	04-09-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-09-2015_HiSeq_ChIP_flowcellA_HHCNFADXX_PE_Rapid.txt
D0986ACXX	12-05-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-05-2011_HiSeq_flowcellB_D0986ACXX_PE.txt
D0C1LABXX	09-13-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-13-2011_HiSeq_flowcellA_D0C1LABXX_PE.txt
HF3TWADXX	01-14-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-14-2015_HiSeq_ChIP_flowcellA_HF3TWADXX_PE_Rapid.txt
HKKF7BCXX	05-06-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-06-2016_HiSeq_ChIP_flowcellA_HKKF7BCXX_SR_Rapid.txt
42AH7AAXX	06-19-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/06-19-2009_Peter_flowcell_42AH7AAXX_SR.txt
C1TF7ACXX	04-01-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-01-2013_HiSeq_ChIP_flowcellA_C1TF7ACXX_PE.txt
2099TABXX	08-26-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-26-2010_HiSeq_flowcellB_2099TABXX_SR.txt
HFJ5YBBXX	09-20-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-20-2016_HiSeq_DIP_flowcellA_HFJ5YBBXX_PE.txt
H8DG9ADXX	02-26-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-26-2014_HiSeq_ChIP_flowcellB_H8DG9ADXX_SR_Rapid.txt
811CEAAXX	01-21-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-21-2011_HiSeq_flowcellB_811CEAAXX_SR.txt
H3H3YBCXX	07-05-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-05-2017_HiSeq_ChIP_flowcellB_H3H3YBCXX_PE_Rapid.txt
HMN2YADXX	08-05-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-05-2015_HiSeq_ChIP_flowcellA_HMN2YADXX_SR_Rapid.txt
HJHC3ADXX	05-21-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-21-2015_HiSeq_ChIP_flowcellB_HJHC3ADXX_SR_Rapid.txt
HBCH3ADXX	12-10-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-10-2014_HiSeq_ChIP_flowcellA_HBCH3ADXX_SR_Rapid.txt
D2G0YACXX	09-12-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-12-2013_HiSeq_Fish_flowcellB_D2G0YACXX_SR.txt
D1BCAACXX	02-12-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-12-2013_HiSeq_Fish_flowcellA_D1BCAACXX_SR.txt
433VYAAXX	07-20-2010	N/A	PE	/mnt/tscc/bil022/RenSix/txt/07-20-2010_Sarah_PE_flowcell_433VYAAXX_PE.txt
H5353GBCXY	01-19-2018	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-19-2018_HiSeq_ChIP_flowcellB_H5353GBCXY_SR_Rapid.txt
HJYYGBCXX	08-03-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-03-2017_HiSeq_ChIP_flowcellB_HJYYGBCXX_SR_Rapid.txt
C21CEACXX	04-26-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-26-2013_HiSeq_Fish_flowcellB_C21CEACXX_SR.txt
HK5WVBCXX	07-11-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-11-2016_HiSeq_ChIP_flowcellA_HK5WVBCXX_PE_Rapid.txt
H7KCJADXX	11-25-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-25-2013_HiSeq_ChIP_flowcellB_H7KCJADXX_SR_Rapid.txt
HHTL2BCXX	01-15-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-15-2016_HiSeq_ChIP_flowcellB_HHTL2BCXX_PE_Rapid.txt
H764YADXX	08-23-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/._08-23-2013_HiSeq_ChIP_flowcellA_H764YADXX_SR_Rapid.txt
42LVNAAXX	10-09-2009	N/A	PE	/mnt/tscc/bil022/RenSix/txt/10-09-2009_Peter_PE_flowcell_42LVNAAXX_PE.txt
HAYGUADXX	10-16-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-16-2014_HiSeq_ChIP_flowcellA_HAYGUADXX_PE_Rapid.txt
30WG4AAXX	03-10-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/03-10-2009_Sarah_flowcell_30WG4AAXX_SR.txt
HMJYJADXX	05-29-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-29-2015_HiSeq_ChIP_flowcellA_HMJYJADXX_SR_Rapid.txt
HKWKLADXX	05-19-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-19-2015_HiSeq_ChIP_flowcellA_HKWKLADXX_PE_Rapid.txt
HN2HGBCXX	07-28-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-28-2016_HiSeq_ChIP_flowcellA_HN2HGBCXX_PE_Rapid.txt
61EF7AXX	02-10-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/02-10-2010_Peter_flowcell_61EF7AXX_SR.txt
C0VF7ACXX	06-04-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-04-2012_HiSeq_ChIP_flowcellB_C0VF7ACXX_PE.txt
30WLVAAXX	02-04-2009	N/A	PE	/mnt/tscc/bil022/RenSix/txt/02-04-2009_Sarah_flowcell_3WLVAAXX-SR.txt
HVHNMBCXX	09-29-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-29-2017_HiSeq_ChIP_flowcellA_HVHNMBCXX_PE_Rapid.txt
H7HTJADXX	10-17-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-17-2013_HiSeq_ChIP_flowcellB_H7HTJADXX_SR_Rapid.txt
42VJWAAXX	09-16-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/09-16-2009_Sarah_flowcell_42VJWAAXX_SR.txt
8164WABXX	03-16-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-16-2011_HiSeq_flowcellB_8164WABXX_SR.txt
HBBN0ADXX	12-15-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-15-2014_HiSeq_ChIP_flowcellB_HBBN0ADXX_PE_Rapid.txt
HMN3VADXX	07-15-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-15-2015_HiSeq_ChIP_flowcellA_HMN3VADXX_SR_Rapid.txt
H53YGBCX2	02-14-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-14-2018_HiSeq_ChIP_flowcellA_H53YGBCX2_PE_Rapid.txt
H3W2YBBXX	02-24-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-24-2015_HiSeq_DIP_flowcellB_H3W2YBBXX_PE.txt
HCH5YBCXX	12-08-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-08-2016_HiSeq_ChIP_flowcellA_HCH5YBCXX_PE_Rapid.txt
H7652ADXX	09-27-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-27-2013_HiSeq_ChIP_flowcellA_H7652ADXX_SR_Rapid.txt
C7W50ACXX	09-03-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-03-2015_HiSeq_ChIP_flowcellB_C7W50ACXX_SR.txt
H0U5NADXX	09-10-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-10-2013_HiSeq_ChIP_flowcellA_H0U5NADXX_PE_Rapid.txt
ACXX	03-20-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-20-2014_HiSeq_Fish_flowcellA_ACXX_PE.txt
630EMAAXX	11-30-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/11-30-2010_Sarah_flowcell_630EMAAXX_SR.txt
HT5CTBCXX	07-28-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-28-2016_HiSeq_ChIP_flowcellB_HT5CTBCXX_SR_Rapid.txt
HFFCNBCXX	02-11-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-11-2016_HiSeq_ChIP_flowcellA_HFFCNBCXX_SR_Rapid.txt
42B0AAAXX	06-1-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/06-1-2009_Peter_flowcell_42B0AAAXX_SR.txt
3056YAAXX	09-28-2009	N/A	PE	/mnt/tscc/bil022/RenSix/txt/09-28-2009_Peter_PE_flowcell_3056YAAXX_PE.txt
HGMKLBBXX	12-07-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-07-2016_HiSeq_DIP_flowcellB_HGMKLBBXX_SR.txt
HHC2YADXX	03-18-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-18-2015_HiSeq_ChIP_flowcellB_HHC2YADXX_PE_Rapid.txt
42VKCAAXX	09-23-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/09-23-2009_Sarah_flowcell_42VKCAAXX_SR.txt
C13VKACXX	08-21-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-21-2012_HiSeq_ChIP_flowcellB_C13VKACXX_PE.txt
434AHAAXX	01-13-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-13-2010_Peter_flowcell_434AHAAXX_SR.txt
HYHKVBCXX	08-31-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-31-2016_HiSeq_ChIP_flowcellB_HYHKVBCXX_PE_Rapid.txt
209B51AAXX	10-22-2010	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-22-2010_HiSeq_flowcellA_209B51AAXX_PE.txt
814HAABXX	03-07-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-07-2011_HiSeq_flowcellB_814HAABXX_SR.txt
C0C7MACXX	01-11-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-11-2012_HiSeq_flowcellA_C0C7MACXX_SR.txt
HBCGNADXX	12-12-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-12-2014_HiSeq_ChIP_flowcellB_HBCGNADXX_SR_Rapid.txt
C0ACDACXX	03-07-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-07-2012_HiSeq_Fish_flowcellA_C0ACDACXX_SR.txt
C0281ABXX	07-28-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-28-2011_HiSeq_flowcellA_C0281ABXX_PE.txt
H95YFADXX	03-27-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-27-2014_HiSeq_ChIP_flowcellA_H95YFADXX_PE_Rapid.txt
H0Y6FACXX	06-26-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-26-2013_HiSeq_ChIP_flowcellA_H0Y6FACXX_SR_Rapid.txt
